Network Model 	 MSELoss 	 	Difference_Equivalent Stress Maximum (Mpa)_Percent	Difference_Equivalent Elastic Strain Maximum_Percent
5-10-10-10-50-10-2 	 0.0554 	 39.33491533912641	40.94724515783841
5-10-10-10-50-10-2 	 0.0688 	 35.95180026575191	33.29856009661736
5-10-10-10-50-10-2 	 0.0555 	 39.87335255287914	39.81895934402823
5-10-10-10-50-10-2 	 0.0556 	 40.04274333289604	39.72531078073578
5-10-10-10-50-10-2 	 0.0590 	 41.5727802783391	41.42474498622095
5-10-10-10-50-10-2 	 0.0608 	 39.42609322719199	39.55520713420823
5-10-10-10-50-10-2 	 0.0599 	 39.80583589285628	37.68209941216823
5-10-10-10-50-10-2 	 0.0620 	 38.87059843105583	39.314445591653865
5-10-10-10-50-10-2 	 0.0624 	 36.71591123279912	37.90730935076902
5-10-10-10-50-10-2 	 0.0578 	 39.89260400820342	39.752654840673394
5-10-10-10-50-10-2 	 0.0583 	 38.55200666959208	38.134486899606785
5-10-10-10-50-10-2 	 0.0581 	 39.27427545753861	41.542977672944126
5-10-10-10-50-10-2 	 0.0578 	 39.96839394811163	39.386820194598855
5-10-10-10-50-10-2 	 0.0535 	 40.83316315376398	39.150196355898544
5-10-10-10-50-10-2 	 0.0561 	 41.11996137905488	41.24435870543483
5-10-10-10-50-10-2 	 0.0576 	 41.28855478758125	39.12256617814124
5-10-10-10-50-10-2 	 0.0641 	 36.67479593931136	37.55986987959456
5-10-10-10-50-10-2 	 0.0585 	 39.61927739627215	38.97838480607805
5-10-10-10-50-10-2 	 0.0070 	 19.80663803608724	22.345083521614878
5-10-10-10-50-10-2 	 0.0077 	 17.583120276995206	17.799270013177605
5-10-10-10-50-10-2 	 0.0110 	 7.305828579387227	7.614401095047249
5-10-10-10-50-10-2 	 0.0063 	 23.680084813082356	24.20747007881495
5-10-10-10-50-10-2 	 0.0075 	 9.823993017870972	9.179690079314147
5-10-10-10-50-10-2 	 0.0085 	 10.098445201160446	10.193396710868043
5-10-10-10-50-10-2 	 0.0148 	 21.283719971121645	18.789035487694818
5-10-10-10-50-10-2 	 0.0033 	 34.743627460537446	34.64708563029788
